epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.13333,3.34818,13.7412,1.08358,9e-05,0.02941,5e-05,0,3.16367,5.73174,1.06391,0.000547614,0.000547614,0.000547614
2,11.4764,3.17024,9.354,1.0174,0.70888,0.10294,0.14663,0.03418,3.13636,4.45397,1.08076,0.00108144,0.00108144,0.00108144
3,15.6645,3.251,9.64111,1.07876,0.13044,0.16439,0.09574,0.03774,2.93699,4.08097,1.0728,0.00159325,0.00159325,0.00159325
4,19.7886,3.4115,8.98382,1.09717,0.13088,0.30476,0.11293,0.02786,3.12814,4.16193,1.07046,0.00156798,0.00156798,0.00156798
5,24.0733,3.27975,8.54701,1.07373,0.20284,0.27128,0.15646,0.03709,2.98878,4.01472,1.06255,0.00153497,0.00153497,0.00153497
6,28.3205,3.3155,6.16662,1.06772,0.12067,0.25657,0.12799,0.0352,3.22624,4.09581,1.08816,0.00150197,0.00150197,0.00150197
7,32.5711,3.32098,6.097,1.09479,0.25313,0.24437,0.1875,0.05615,2.99628,3.69427,1.07728,0.00146896,0.00146896,0.00146896
8,36.7378,3.26453,5.57126,1.04706,0.66432,0.20164,0.14319,0.02703,3.21585,3.82651,1.05942,0.00143595,0.00143595,0.00143595
9,40.9079,3.10626,5.02756,1.0247,0.6993,0.22059,0.20789,0.06008,3.04852,3.16433,1.05003,0.00140295,0.00140295,0.00140295
10,45.0728,3.36439,4.91621,1.02172,0.62271,0.16176,0.17738,0.0474,2.9775,2.56478,1.05725,0.00136994,0.00136994,0.00136994
11,49.2415,3.25409,4.78302,1.03163,0.12196,0.26471,0.14107,0.05007,3.04276,2.46221,1.04113,0.00133693,0.00133693,0.00133693
12,53.3851,3.03253,4.32207,1.01061,0.14042,0.36608,0.15582,0.04321,3.00751,2.34396,1.05076,0.00130393,0.00130393,0.00130393
13,57.9408,3.11496,4.11971,1.01764,0.12432,0.27573,0.16121,0.04042,3.03786,2.41675,1.0377,0.00127092,0.00127092,0.00127092
14,62.2381,3.095,3.59837,1.02233,0.24718,0.30442,0.17825,0.04569,2.98178,2.34117,1.03808,0.00123791,0.00123791,0.00123791
15,66.428,3.07903,4.04035,0.98721,0.10716,0.25657,0.13862,0.04123,2.99163,2.62275,1.01835,0.00120491,0.00120491,0.00120491
16,70.5131,3.14508,3.57332,0.99928,0.59243,0.17647,0.12078,0.02919,2.97655,2.49901,1.05019,0.0011719,0.0011719,0.0011719
17,74.6166,3.12785,3.39637,0.99711,0.20623,0.31946,0.19073,0.0463,2.99244,2.33014,1.01048,0.00113889,0.00113889,0.00113889
18,78.8358,3.10541,3.24463,0.97021,0.15464,0.19118,0.17501,0.04751,3.01159,2.34678,1.04737,0.00110589,0.00110589,0.00110589
19,83.151,3.06833,3.22628,1.00516,0.15593,0.29255,0.16265,0.04673,2.94778,2.34697,1.0311,0.00107288,0.00107288,0.00107288
20,87.2223,2.96197,3.19495,0.96219,0.61085,0.19118,0.13112,0.04219,2.9668,2.45299,1.02477,0.00103987,0.00103987,0.00103987
21,91.2107,2.97788,3.15674,0.97448,0.28617,0.23111,0.14936,0.04214,2.95613,2.39289,1.03701,0.00100687,0.00100687,0.00100687
22,95.2516,2.98736,2.96102,0.98621,0.32913,0.18401,0.19459,0.05329,2.9776,2.36521,1.03226,0.000973861,0.000973861,0.000973861
23,99.3492,2.95364,2.97018,0.98901,0.13955,0.24186,0.17118,0.04883,3.04133,2.26089,1.03045,0.000940855,0.000940855,0.000940855
24,103.4,2.91091,2.74871,0.94818,0.12568,0.24186,0.14401,0.03772,3.03001,2.30521,1.03145,0.000907848,0.000907848,0.000907848
25,107.478,2.8128,2.72849,0.97684,0.17542,0.38329,0.19948,0.0625,2.90952,2.2178,1.00781,0.000874842,0.000874842,0.000874842
26,111.646,3.00436,2.8388,1.00106,0.1572,0.32603,0.18069,0.05769,2.91988,2.24562,1.02008,0.000841835,0.000841835,0.000841835
27,115.983,2.83235,2.54525,0.93466,0.72345,0.17647,0.18141,0.04991,2.86431,2.38597,1.01603,0.000808828,0.000808828,0.000808828
28,120.205,2.84167,2.61253,0.94841,0.74851,0.23529,0.23178,0.05294,2.90358,2.33624,1.00196,0.000775822,0.000775822,0.000775822
29,124.296,2.68114,2.57171,0.94277,0.73684,0.19118,0.22449,0.05715,2.8675,2.2468,0.99681,0.000742815,0.000742815,0.000742815
30,128.595,2.94205,2.62104,0.96995,0.216,0.32603,0.2727,0.0777,2.8734,2.28872,1.00658,0.000709809,0.000709809,0.000709809
31,132.814,2.8838,2.51095,0.94951,0.71388,0.18699,0.21977,0.05961,2.92399,2.28761,1.00676,0.000676802,0.000676802,0.000676802
32,137.089,2.70445,2.52868,0.95854,0.20954,0.31133,0.23328,0.06618,2.87383,2.2891,1.00784,0.000643795,0.000643795,0.000643795
33,141.39,2.80151,2.38684,0.96217,0.21455,0.39855,0.22285,0.06246,2.89096,2.34679,1.0035,0.000610789,0.000610789,0.000610789
34,145.537,2.76968,2.51118,0.96777,0.2019,0.3179,0.24241,0.06921,2.84684,2.2855,1.00515,0.000577782,0.000577782,0.000577782
35,149.798,2.91392,2.40261,0.97629,0.24447,0.3179,0.24401,0.06875,2.82866,2.26151,1.00191,0.000544776,0.000544776,0.000544776
36,153.873,2.78804,2.39883,0.97488,0.21042,0.34324,0.20844,0.06626,2.91333,2.20318,1.01624,0.000511769,0.000511769,0.000511769
37,158.032,2.60228,2.1738,0.94138,0.2467,0.35951,0.23783,0.07343,2.79262,2.20942,1.00028,0.000478762,0.000478762,0.000478762
38,162.137,2.76359,2.37041,0.94984,0.20566,0.34481,0.23703,0.08391,2.8193,2.24083,0.99336,0.000445756,0.000445756,0.000445756
39,166.288,2.56359,2.26538,0.88058,0.20525,0.34054,0.26285,0.08064,2.77168,2.21747,1.00057,0.000412749,0.000412749,0.000412749
40,170.322,2.67126,2.23012,0.92271,0.22342,0.34631,0.22426,0.07212,2.71782,2.22249,0.99668,0.000379743,0.000379743,0.000379743
41,186.748,2.50339,2.31951,0.96018,0.18923,0.35795,0.2063,0.0671,2.717,2.2421,0.9949,0.000346736,0.000346736,0.000346736
42,191.129,2.47705,2.32823,0.95937,0.18436,0.37265,0.2275,0.0765,2.71898,2.22196,0.99867,0.000313729,0.000313729,0.000313729
43,195.486,2.44324,2.36051,0.93901,0.23389,0.32603,0.25959,0.08159,2.75159,2.18311,0.99334,0.000280723,0.000280723,0.000280723
44,199.824,2.5117,2.24413,0.95008,0.19776,0.34605,0.24223,0.07153,2.76736,2.18271,0.9877,0.000247716,0.000247716,0.000247716
45,204.092,2.34503,2.26352,0.92633,0.15573,0.32196,0.221,0.06889,2.81034,2.20035,0.99259,0.00021471,0.00021471,0.00021471
46,208.262,2.51228,2.24185,0.94674,0.19473,0.34348,0.24514,0.07612,2.83844,2.23112,0.99126,0.000181703,0.000181703,0.000181703
47,212.415,2.36257,2.13204,0.92326,0.19135,0.32196,0.22294,0.07359,2.81901,2.20704,0.99887,0.000148696,0.000148696,0.000148696
