epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,259.047,2.29269,3.32479,1.17827,0.48744,0.36985,0.31765,0.1404,1.94643,1.96178,1.12386,0.00027732,0.00027732,0.00027732
2,512.429,2.05663,2.12021,1.1162,0.35151,0.38278,0.33543,0.14464,1.9176,1.79072,1.12609,0.000500043,0.000500043,0.000500043
3,786.382,2.01623,1.75344,1.10387,0.39365,0.39255,0.36912,0.1736,1.83034,1.64224,1.09626,0.000667788,0.000667788,0.000667788
4,1049.24,1.94483,1.57363,1.09113,0.50067,0.41657,0.37995,0.17782,1.82008,1.52442,1.1001,0.000585599,0.000585599,0.000585599
5,1307.55,1.87847,1.47053,1.07281,0.52755,0.44588,0.42513,0.20539,1.74701,1.45777,1.08212,0.000503132,0.000503132,0.000503132
6,1572.56,1.87303,1.40211,1.05947,0.42465,0.47101,0.42794,0.20433,1.80128,1.39482,1.0876,0.000420665,0.000420665,0.000420665
7,1832.42,1.81334,1.35586,1.04218,0.50455,0.4973,0.4591,0.23101,1.77657,1.37656,1.06911,0.000338198,0.000338198,0.000338198
8,2083.96,1.80455,1.29769,1.02975,0.43691,0.53881,0.46218,0.23791,1.70913,1.35858,1.04685,0.000255731,0.000255731,0.000255731
9,2333.17,1.76164,1.25587,1.01693,0.46662,0.53489,0.4798,0.24564,1.72835,1.2944,1.05049,0.000173264,0.000173264,0.000173264
10,2592.62,1.72327,1.21445,1.00673,0.49679,0.5434,0.48814,0.25334,1.68542,1.25873,1.03063,9.0797e-05,9.0797e-05,9.0797e-05
